"Store No.","Name","Latitude","Longitude","Street","City","State","Zip_Code","County","Phone","Open Hours","URL","Provider","Updated Date","Country","Status","Direction URL","NAICS 1","NAICS 2","SIC 1","SIC 2","Stock Ticker"
"001.005.1727","Chili's Franklin","42.927081","-87.9503","6439 South 27th Street","Franklin","WI","53132","Milwaukee","414-761-5889","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/wisconsin/franklin/east-franklin","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/6439+South+27th+Street,+Franklin,+WI,+53132,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1629","Chili's Idaho Falls","43.496363","-112.046069","620 N Utah Ave","Idaho Falls","ID","83402","Bonneville","208-552-2577","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/idaho/idaho-falls/idaho-falls","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/620+N+Utah+Ave,+Idaho+Falls,+ID,+83402,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.0786","Chili's Buena Park","33.8463654","-117.9903227","8376 La Palma Avenue","Buena Park","CA","90620","Orange","714-252-9050","monday:- 10:45 - 22:00 | tuesday:- 10:45 - 22:00 | wednesday:- 10:45 - 22:00 | thursday:- 10:45 - 22:00 | friday:- 10:45 - 23:00 | saturday:- 10:45 - 23:00 | sunday:- 10:45 - 22:00","https://www.chilis.com/locations/us/california/buena-park/buena-park","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/8376+La+Palma+Avenue,+Buena+Park,+CA,+90620,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1748","Chili's Maplewood","45.027622","-93.024026","1800 Beam Ave","Maplewood","MN","55109","Ramsey","651-773-9501","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/minnesota/maplewood/maplewood","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/1800+Beam+Ave,+Maplewood,+MN,+55109,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1059","Chili's Zachary","30.6467979","-91.1461404","5520 Main Street","Zachary","LA","70791","East Baton Rouge Parish","225-658-7748","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/louisiana/zachary/zachary","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/5520+Main+Street,+Zachary,+LA,+70791,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1605","Chili's Midlothian","32.459309","-96.994827","2250 Fm 663","Midlothian","TX","76065","Ellis","469-458-6665","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/texas/midlothian/midlothian","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/2250+Fm+663,+Midlothian,+TX,+76065,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1159","Chili's Alvin","29.4239669","-95.2259323","134 N Bypass 35","Alvin","TX","77511","Brazoria","281-585-0200","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/texas/alvin/alvin","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/134+N+Bypass+35,+Alvin,+TX,+77511,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1768","Chili's Batavia","41.858642","-88.341196","491 N Randall Road","Batavia","IL","60510","Kane","630-761-4479","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/illinois/batavia/batavia","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/491+N+Randall+Road,+Batavia,+IL,+60510,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1100","Chili's West Valley City","40.7041736","-112.0244262","3075 S 5600 W","West Valley City","UT","84120","Salt Lake","801-967-2655","monday:- 11:00 - 23:00 | tuesday:- 11:00 - 23:00 | wednesday:- 11:00 - 23:00 | thursday:- 11:00 - 23:00 | friday:- 11:00 - 24:00 | saturday:- 11:00 - 24:00 | sunday:- 11:00 - 23:00","https://www.chilis.com/locations/us/utah/west-valley-city/centennial-park","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/3075+S+5600+W,+West+Valley+City,+UT,+84120,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1612","Chili's Terrell","32.727508","-96.334575","200 Spur 557","Terrell","TX","75160","Kaufman","469-200-6262","monday:- 10:45 - 22:00 | tuesday:- 10:45 - 22:00 | wednesday:- 10:45 - 22:00 | thursday:- 10:45 - 22:00 | friday:- 10:45 - 23:00 | saturday:- 10:45 - 23:00 | sunday:- 10:45 - 22:00","https://www.chilis.com/locations/us/texas/terrell/terrell","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/200+Spur+557,+Terrell,+TX,+75160,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
"001.005.1309","Chili's Chattanooga","35.0288933","-85.1567939","1921 Gun Barrel Road","Chattanooga","TN","37421","Hamilton","423-892-6319","monday:- 11:00 - 22:00 | tuesday:- 11:00 - 22:00 | wednesday:- 11:00 - 22:00 | thursday:- 11:00 - 22:00 | friday:- 11:00 - 23:00 | saturday:- 11:00 - 23:00 | sunday:- 11:00 - 22:00","https://www.chilis.com/locations/us/tennessee/chattanooga/hamilton-place","Chili's","2026-02-24","USA","Open","https://www.google.com/maps/dir/Current+Location/1921+Gun+Barrel+Road,+Chattanooga,+TN,+37421,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing","EAT:NYSE"
