"Store No.","Name","Latitude","Longitude","Street","City","State","Zip_Code","County","Phone","Open Hours","URL","Provider","Updated Date","Country","Status","Direction URL","NAICS 1","NAICS 2","SIC 1","SIC 2"
"001.025.0171","Westshore Plaza","27.945839","-82.527299","203 Westshore Plaza","Tampa","FL","33609","Hillsborough","813-288-9000","sunday :- 11:00 - 22:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Florida/Tampa/203-westshore-plaza","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/203+Westshore+Plaza,+Tampa,+FL,+33609,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0139","Park Square","42.35168","-71.068028","4 Columbus Ave","Boston","MA","02116","Suffolk","617-542-3456","sunday :- 11:00 - 20:30 | monday :- 11:30 - 21:30 | tuesday :- 11:30 - 21:30 | wednesday :- 11:30 - 21:30 | thursday :- 11:30 - 21:30 | friday :- 11:30 - 22:30 | saturday :- 11:00 - 22:30","https://locations.maggianos.com/locations/Massachusetts/Boston/4-columbus-ave.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/4+Columbus+Ave,+Boston,+MA,+02116,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0165","Westfield Promenade","34.181104","-118.605799","6100 Topanga Canyon Blvd","Woodland Hills","CA","91367","Los Angeles","818-887-3777","sunday :- 11:00 - 22:00 | monday :- 11:00 - 21:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/California/Woodland Hills/6100-topanga-canyon-blvd.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/6100+Topanga+Canyon+Blvd,+Woodland+Hills,+CA,+91367,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"760.032.0001","Dfw Airport","32.89","-97.06","3200 Terminal C E Airfield Dr","Dallas","TX","75261","Tarrant","","sunday :- 05:00 - 22:30 | monday :- 05:00 - 22:30 | tuesday :- 05:00 - 22:30 | wednesday :- 05:00 - 22:30 | thursday :- 05:00 - 22:30 | friday :- 05:00 - 22:30 | saturday :- 05:00 - 22:30","https://locations.maggianos.com/locations/Texas/Dallas/3200-terminal-c-e-airfield-dr","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/3200+Terminal+C+E+Airfield+Dr,+Dallas,+TX,+75261,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0195","West End Avenue","36.142565","-86.815541","3106 W End Ave","Nashville","TN","37203","Davidson","615-514-0270","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 21:30 | friday :- 11:00 - 22:00 | saturday :- 11:00 - 22:00","https://locations.maggianos.com/locations/Tennessee/Nashville/3106-w.-end-avenue","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/3106+W+End+Ave,+Nashville,+TN,+37203,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0203","Freedom Commons","41.803904","-88.126259","1847 Freedom Dr","Naperville","IL","60563","DuPage","630-536-2270","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 21:30 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Illinois/Naperville/1847-freedom-drive","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/1847+Freedom+Dr,+Naperville,+IL,+60563,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0183","Santana Row","37.3205","-121.949063","3055 Olin Ave Suite 1000","San Jose","CA","95128","Santa Clara","408-423-8973","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/California/San Jose/3055-olin-ave.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/3055+Olin+Ave+Suite+1000,+San+Jose,+CA,+95128,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0189","Short Pump Town Center","37.654303","-77.623298","11800 West Broad St 2204","Richmond","VA","23233","Henrico","804-253-0900","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 22:00 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Virginia/Richmond/11800-west-broad-st.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/11800+West+Broad+St+2204,+Richmond,+VA,+23233,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0217","Springfield Town Center","38.774501","-77.175328","6500 Springfield Mall","Springfield","VA","22150","Fairfax","703-923-9309","sunday :- 11:00 - 21:00 | monday :- 11:00 - 22:00 | tuesday :- 11:00 - 22:00 | wednesday :- 11:00 - 22:00 | thursday :- 11:00 - 21:30 | friday :- 11:00 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Virginia/Springfield/6500-springfield-mall","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/6500+Springfield+Mall,+Springfield,+VA,+22150,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
"001.025.0047","Clark & Grand","41.891168","-87.631099","516 N Clark St","Chicago","IL","60654","Cook","312-644-7700","sunday :- 11:00 - 22:00 | monday :- 11:30 - 22:00 | tuesday :- 11:30 - 22:00 | wednesday :- 11:30 - 22:00 | thursday :- 11:30 - 22:00 | friday :- 11:30 - 23:00 | saturday :- 11:00 - 23:00","https://locations.maggianos.com/locations/Illinois/Chicago/516-n-clark-st.","Maggiano's Little Italy","2025-11-05","USA","Open","https://www.google.com/maps/dir/Current+Location/516+N+Clark+St,+Chicago,+IL,+60654,+USA/","722511 - Full-Service Restaurants","533110 - Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","58120501 - Restaurant, family: chain","67949902 - Franchises, selling or licensing"
